hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
6998,7111019,Ashwin,17177,8528,,1775,yes,2588,1305,,14,70,0,,0.030044710758048654
6999,3787685,Siros,11194,9397,,1807,yes,3804,1238,,13,46,0,,0.030022223422732627
7000,12563439,Mihailchik,11326,9372,4014,1772,,,1274,yes,0,0,15,,0.029808301305352218
7001,7594544,maqueroon,12422,9182,,1799,yes,3444,1254,,3,6,0,,0.029806650000172404
7002,8500011,Dianth,5862,10615,3036,1811,,9296,1105,,4,10,1,yes,0.029752827341204602
7003,14273176,newtype999,7601,10152,8520,1666,,7517,1137,,1,2,1,yes,0.02957942021261034
7004,11397072,pottomotto22,7470,10184,5695,1726,,6243,1165,,1,2,4,yes,0.029548909348459634
7005,12715057,Mothra,7559,10161,6064,1717,,,1320,yes,0,0,8,yes,0.029540112398915047
7006,14951633,LouisD,24791,7777,3804,1779,,1801,1369,,27,118,5,yes,0.02947864519284249
7007,9060966,Puskevit,8295,9987,4600,1754,,4356,1218,,1,4,19,,0.02935172448783554
7008,17819691,mochaaaa,12136,9237,4281,1764,,,1266,yes,0,0,1,yes,0.029340634985598836
7009,23736599,Candysour,10759,9476,4301,1763,,,1280,yes,0,0,9,yes,0.029167332980297576
7010,13726893,MindClear,7800,10106,5382,1734,,,1316,yes,0,0,18,,0.02905953899997188
7011,2461385,Tiyop,12099,9243,,1801,yes,3872,1236,,1,2,0,,0.0290194181474116
7012,34422429,LAYS,9564,9696,9537,1648,,,1293,yes,0,0,1,yes,0.028942516766606946
7013,10748973,LonyLock,9402,9731,,1818,yes,8370,1121,,1,2,0,,0.02890557427110907
7014,15928955,JPR,10875,9454,4236,1765,,,1279,yes,0,0,10,yes,0.028740105252591908
7015,9833019,Eepyhead,9252,9760,4535,1756,,5158,1192,,1,1,10,yes,0.028651387889749427
7016,11071437,chelovek43,11630,9321,3990,1773,,,1271,yes,0,0,9,yes,0.028550878896977272
7017,8762031,Clovers,13098,9073,,1795,yes,3226,1264,,5,14,0,,0.028535282397483135
7018,9070739,Phynta,15448,8742,,1783,yes,2806,1291,,8,30,0,,0.028505951189266965
7019,14090438,UnveiledGolem,13602,9001,1250,1915,,9914,1093,,23,77,18,,0.02848506674652701
7020,21028016,Forstay,10386,9546,3374,1797,,7249,1143,,2,3,16,yes,0.02827098714098493
7021,13087358,-mox,5394,10770,7815,1679,,,1358,yes,0,0,8,yes,0.028231426202401155
7022,15021904,Sauce Cake,16095,8663,2890,1816,,,1234,yes,0,0,11,,0.02820086981388384
7023,20043996,vexize,16467,8614,2934,1814,,,1232,yes,0,0,21,,0.028031737778251464
7024,6142454,TheDustOfTimes,13290,9046,1848,1868,,7913,1130,,13,46,46,,0.027990495243619212
7025,3275495,Liyuchi,11944,9268,,1802,yes,3642,1245,,4,13,0,,0.0278425472076963
7026,11368943,Leugim_,14680,8848,3135,1806,,,1245,yes,0,0,8,yes,0.02776205579045473
7027,2609349,Weed,5849,10618,7066,1696,,5799,1175,,14,37,1,yes,0.02770707815470791
7028,14308998,Lyarime,12626,9145,,1798,yes,3332,1259,,1,2,0,,0.027706808082193807
7029,23124445,meowmeowmmeowme,7522,10171,,1833,yes,5350,1187,,44,143,0,,0.02759798529884691
7030,14700019,sebnop,8794,9860,9272,1653,,4499,1213,,1,2,1,yes,0.02737014857589193
7031,7108313,Mr Zagred,11287,9379,,1806,yes,6293,1163,,1,1,0,,0.02736371415725508
7032,7201269,gygy,8426,9954,,1826,yes,4897,1200,,27,93,0,,0.02710369911671842
7033,17369449,mymeatfelloff,10298,9564,,1812,yes,5108,1193,,2,4,0,,0.027066319065479988
7034,137441,Rakyero,9655,9678,9471,1649,,2205,1334,,2,7,3,yes,0.027029813326014812
7035,4147680,Vovan,7670,10137,5255,1737,,,1318,yes,0,0,33,,0.026917075772996762
7036,8070299,Khang4,5295,10807,2710,1823,,9519,1101,,3,15,1,yes,0.026841613296629097
7037,21538702,xChocq,3940,11418,5722,1725,,8319,1122,,2,6,13,yes,0.026738618553948906
7038,14823905,vcou,9475,9717,9960,1641,,,1294,yes,0,0,1,yes,0.026643043649297288
7039,7521804,parkinsonboy,4439,11167,6231,1713,,7166,1144,,4,6,7,yes,0.026344531474045058
7040,11911363,ashamed,9233,9765,3875,1777,,8553,1117,,1,2,1,yes,0.026299517492245433
7041,5141675,iolight,7410,10198,,1834,yes,8545,1118,,2,5,0,,0.0261329753079928
7042,16040450,XPingX,13016,9087,3529,1790,,,1258,yes,0,0,4,yes,0.026004338854390085
7043,14477332,RocketeerRover,8782,9863,8400,1668,,3840,1237,,15,50,1,yes,0.02589410628504052
7044,14864854,Minaryu,7228,10239,5804,1723,,,1325,yes,0,0,14,yes,0.025892846261671987
7045,733878,B e N i,10738,9479,,1810,yes,4723,1205,,1,4,0,,0.02545362156953504
7046,6995868,-kRs,10231,9576,,1813,yes,4703,1206,,1,7,0,,0.025190837410834305
7047,3859111,Beardedhippo,8385,9964,,1826,yes,4917,1199,,39,122,0,,0.025141273704657907
7048,454182,jhonddr,13970,8945,3452,1793,,,1250,yes,0,0,77,,0.02464793940707651
7049,4160699,Yoari,8725,9875,,1823,yes,5175,1191,,7,16,0,,0.024622611913054954
7050,6570008,zhev,13195,9061,,1795,yes,3093,1272,,1,3,0,,0.02443074897450787
7051,28276042,erical,5675,10669,8760,1661,,,1352,yes,0,0,5,yes,0.024387686388162633
7052,24986129,Z00M,9457,9719,6925,1699,,,1294,yes,0,0,2,yes,0.024366078396930474
7053,10210959,Ducker,11249,9387,4549,1756,,,1275,yes,0,0,3,yes,0.024357740677753682
7054,7031074,Roni,4858,10998,8899,1659,,9865,1094,,2,3,2,yes,0.024295248738655073
7055,16004080,Tylerderp,6031,10562,8334,1669,,,1345,yes,0,0,5,yes,0.0242481628895031
7056,8937198,araran,10346,9555,,1812,yes,4341,1219,,5,16,0,,0.023761607117608163
7057,6489078,Rayzent,10826,9463,,1809,yes,4303,1220,,3,8,0,,0.023732152471926393
7058,5337801,insomnyawolf,12163,9232,,1801,yes,3914,1234,,1,2,0,,0.023585741864880033
7059,10644834,Demideum,11624,9323,4316,1763,,,1271,yes,0,0,3,yes,0.02353752582829586
7060,1800408,kevinm31,17972,8433,,1771,yes,2511,1311,,18,58,0,,0.02330978157725594
7061,34448754,Nekoyato,5086,10896,6737,1702,,4188,1224,,1,4,15,,0.023294760855384494
7062,2245830,gadrin,5997,10570,,1845,yes,9729,1097,,3,7,0,,0.023114937596190488
7063,16477130,cru,9592,9689,9726,1645,,,1293,yes,0,0,1,yes,0.02309124223106887
7064,3750999,Bipen,8058,10048,3996,1773,,5031,1196,,10,34,5,yes,0.022994183319638456
7065,9883609,Nichtz,17552,8483,2378,1838,,,1225,yes,0,0,6,yes,0.022768450799787482
7066,14205390,-ayayaya-,16644,8592,,1777,yes,2667,1300,,10,37,0,,0.022751256469929856
7067,10711834,Tekutomodo,7900,10086,5943,1720,,5436,1184,,1,1,5,yes,0.02274457008909607
7068,10491985,Rakuneera,11858,9283,,1803,yes,4272,1221,,1,2,0,,0.022641888132931554
7069,5057172,_ojiisan,7361,10211,8507,1666,,,1323,yes,0,0,3,yes,0.02263621811318406
7070,8870898,XzahKnight,7005,10289,5514,1731,,4995,1196,,12,36,2,yes,0.022512368752467787
7071,9657753,Adrad,10068,9607,,1814,yes,7161,1144,,1,2,0,,0.022393695431349253
7072,7258536,Anemic Witch,17616,8476,5792,1724,,2250,1330,,9,30,1,yes,0.022176606073036037
7073,18728357,WinfoStona,10592,9505,5581,1729,,,1282,yes,0,0,2,yes,0.022156099351900715
7074,16813632,Pearlmini,9893,9635,4468,1758,,,1289,yes,0,0,25,,0.02171449477865127
7075,5430999,kangarang,10058,9609,,1814,yes,5475,1183,,1,4,0,,0.021579705634346733
7076,11374306,Zeralis,7233,10237,6227,1713,,,1325,yes,0,0,9,yes,0.021570216193973757
7077,7577835,-Soni-,19669,8254,,1764,yes,2211,1333,,6,24,0,,0.02150255962788597
7078,11500584,Arokomi,10174,9586,,1813,yes,4324,1219,,9,29,0,,0.021406900672203147
7079,9596942,Yuryy,6663,10379,,1839,yes,8268,1123,,3,8,0,,0.021227440444937573
7080,20270770,ashley-,15382,8750,,1783,yes,2881,1286,,12,47,0,,0.021225530234910833
7081,13805350,ohke,7664,10138,8121,1673,,,1318,yes,0,0,3,yes,0.021104953672366644
7082,8500628,NathanSS,25571,7718,,1742,yes,1850,1365,,46,202,0,,0.021030849569735277
7083,10025733,Totoo,4638,11084,5717,1725,,5852,1174,,1,6,28,,0.021029990583588745
7084,12846190,BaLsNeR,13630,8996,3171,1805,,,1253,yes,0,0,2,yes,0.0209567091012848
7085,9521171,Pochi Korone,9713,9670,9542,1648,,,1291,yes,0,0,1,yes,0.020728599984108476
7086,18194710,JOrge P,9963,9623,,1815,yes,7436,1139,,1,2,0,,0.020558692501198544
7087,29409169,Ratlovecheese,4716,11053,6836,1700,,,1373,yes,0,0,52,,0.020461131114529962
7088,19698504,nontanyanaikai,5942,10587,5615,1728,,6527,1159,,2,4,7,yes,0.019806277049748217
7089,14710716,topyro,9680,9675,9667,1646,,,1292,yes,0,0,1,yes,0.01977898908463277
7090,1303685,[Lucky],16088,8665,3896,1776,,2689,1298,,22,66,9,yes,0.01958484141482511
7091,10863249,TabletBoii,7762,10117,,1831,yes,5677,1178,,11,29,0,,0.019521591879513106
7092,3644289,norbertosnt3,10278,9566,5405,1734,,,1285,yes,0,0,3,yes,0.01946022132482915
7093,2906436,Lako,7426,10194,,1833,yes,6220,1165,,7,18,0,,0.019335903793604697
7094,10413842,CQC007,10750,9477,7109,1695,,,1280,yes,0,0,1,yes,0.01932914130437656
7095,18923058,Z_UFF,10091,9604,6243,1713,,,1287,yes,0,0,2,yes,0.019099706050983906
7096,11832058,Aya Bunbunmaru,7784,10111,,1831,yes,6758,1154,,2,9,0,,0.01908092043036505
7097,12697439,-Metallic,10950,9441,,1808,yes,8031,1127,,1,1,0,,0.018798076574861433
7098,4530738,zeliaR,12028,9253,,1802,yes,4746,1204,,1,1,0,,0.018662090121460563
7099,2796962,Principe,14146,8918,,1790,yes,2560,1307,,1,2,0,,0.018512065845942026
7100,14053835,Sagume Kishin,13760,8975,3115,1807,,,1252,yes,0,0,2,yes,0.018446491788888242
7101,10210495,Siko,5961,10583,7530,1686,,7510,1137,,2,7,1,yes,0.018413542794310844
7102,14904117,Marlink,12156,9233,3895,1776,,,1266,yes,0,0,9,yes,0.018310108225185782
7103,10970236,selatar,28829,7492,1368,1904,,3503,1251,,15,54,10,yes,0.01827000679229357
7104,15892637,fartfartfart,9222,9766,4667,1752,,,1297,yes,0,0,33,,0.018234576229215815
7105,8688777,a hotdog,7982,10067,,1829,yes,5444,1184,,13,38,0,,0.018004225459362283
7106,9009969,Amuamn,10257,9571,,1813,yes,5348,1187,,1,4,0,,0.017975121632749544
7107,7127521,lynchrya3,9106,9790,,1820,yes,6205,1165,,2,5,0,,0.017955696389579223
7108,2295157,Shockwave000,14885,8818,,1786,yes,2489,1313,,1,3,0,,0.017269351728976062
7109,17593996,Holabanana,19044,8319,2368,1838,,3758,1240,,1,4,14,,0.01712524165235213
7110,10528604,Asa_,6653,10381,5657,1727,,4986,1197,,4,7,6,yes,0.017004164111259948
7111,13661976,KeinanLP,14733,8840,3343,1798,,,1244,yes,0,0,25,,0.017003149145609124
7112,10018872,CoisasFC,10050,9610,8842,1660,,,1288,yes,0,0,1,yes,0.016974031918490867
7113,11172779,Kaopper,15150,8784,,1785,yes,2618,1303,,1,5,0,,0.016905686734847186
7114,4010354,idealnettles,14483,8873,1960,1861,,4952,1198,,14,43,6,yes,0.016439539723800592
7115,35826907,Atackrs,9722,9668,9723,1645,,,1291,yes,0,0,1,yes,0.016357346351581176
7116,11840098,chamandoo,9143,9783,,1820,yes,7612,1136,,1,3,0,,0.01600473844164277
7117,1453543,Sam,14042,8935,,1790,yes,2944,1281,,2,5,0,,0.015871445954592785
7118,8590397,Nyarlat,8533,9928,5348,1735,,,1306,yes,0,0,12,yes,0.01575787480950061
7119,4722369,Lupa,8517,9931,3086,1808,,6248,1164,,25,88,15,,0.015725769396792794
7120,20736312,Rhitsy,15526,8733,3200,1803,,,1238,yes,0,0,29,,0.01569950589516951
7121,22022420,fornii,96512,5230,2289,1842,,724,1588,,7,29,14,,0.015646504131138883
7122,3032846,marimorima,11288,9379,,1806,yes,4258,1222,,2,6,0,,0.015307261297937552
7123,12994366,ChickenLegPiece,10042,9611,6390,1710,,,1288,yes,0,0,2,yes,0.015268718792715325
7124,16401605,Xypr,13700,8985,,1792,yes,3026,1276,,2,4,0,,0.01517232417501076
7125,14443032,LickWidFyre,7191,10248,,1835,yes,6507,1159,,8,18,0,,0.015099947138937586
7126,16299020,SK0LOPENDRA,7778,10112,5895,1721,,,1316,yes,0,0,10,,0.014920697997913124
7127,2536580,Daiguh,9822,9649,,1815,yes,7971,1129,,1,2,0,,0.014907608799395067
7128,11962776,Synergy_96,14439,8878,3301,1800,,,1247,yes,0,0,8,yes,0.014728276014983437
7129,10273040,Uruha Russia,16192,8651,1736,1876,,6953,1149,,7,37,26,,0.014686376610370228
7130,3922750,Guliak,7077,10271,6918,1699,,4222,1223,,1,2,5,yes,0.014458571860639834
7131,12220376,Umar,7402,10200,,1834,yes,6927,1150,,4,11,0,,0.014391140770746547
7132,13132294,flandreee,10683,9490,,1810,yes,6217,1165,,1,2,0,,0.014228305480987094
7133,11612720,glyph nyan osu,5540,10716,4324,1763,,6808,1153,,17,67,2,yes,0.014042930349232818
7134,9370189,vFlan,6615,10392,3652,1785,,6937,1150,,9,23,5,yes,0.014005388884101466
7135,3942820,Fukkatsu,5624,10685,,1849,yes,7872,1131,,9,23,0,,0.013973847879245882
7136,4404162,Rexastral,10263,9571,,1813,yes,5422,1184,,2,4,0,,0.013438390989310933
7137,2751056,FreshMint,13211,9058,,1795,yes,3145,1268,,1,2,0,,0.013381598479292503
7138,13577903,wintale,9710,9670,9908,1642,,,1291,yes,0,0,1,yes,0.013224034788651612
7139,11807760,Italian_Plumbum,12840,9114,,1797,yes,3442,1254,,8,41,0,,0.013217594510065359
7140,13437715,BlackTexture,16071,8667,2922,1815,,,1234,yes,0,0,8,yes,0.012790479982024358
7141,26239177,isac_l,5989,10575,8058,1674,,,1346,yes,0,0,6,yes,0.012718501011897865
7142,9951289,coli,12307,9204,3856,1777,,,1265,yes,0,0,13,yes,0.012689043295293547
7143,3516728,Massimo99,5126,10876,7679,1683,,7065,1147,,7,21,1,yes,0.012559152834588555
7144,8648178,Raburauza,6302,10483,,1843,yes,8240,1124,,3,11,0,,0.012246946681111093
7145,15663596,4rkiva,19362,8284,2115,1852,,,1213,yes,0,0,6,yes,0.012182692472949314
7146,29831493,BobLeTabernak,21864,8040,2459,1833,,,1200,yes,0,0,264,,0.011973488693801576
7147,1594767,Hunteriwi,6675,10375,,1839,yes,6322,1163,,19,54,0,,0.011741298161736247
7148,23638593,Slowpoke1585,14307,8897,3455,1793,,,1248,yes,0,0,37,,0.011706718103662875
7149,6177591,ALWAYSWANNACRY,9516,9709,5203,1739,,,1294,yes,0,0,7,yes,0.011624866400326145
7150,10736722,paper clouds,19059,8317,2266,1843,,4022,1231,,7,35,20,yes,0.011499600520807736
7151,11130294,JCEY,11943,9268,5098,1742,,,1268,yes,0,0,1,yes,0.011382366428241399
7152,6511254,Axion299,21281,8095,2689,1823,,2986,1278,,3,9,48,,0.011253628679490285
7153,245276,Explosive,14918,8814,4033,1772,,2883,1285,,12,38,4,yes,0.011192727525987045
7154,17509292,Mr Oops,8969,9819,4195,1766,,6568,1158,,1,2,19,yes,0.011155241715627262
7155,13449760,stupid-dummy,10302,9563,,1812,yes,7123,1146,,1,2,0,,0.010992143488082973
7156,7646182,hide_1,7955,10075,,1830,yes,7608,1136,,4,6,0,,0.010928563129121105
7157,32998874,RTX 3090,7591,10154,4810,1749,,5933,1172,,3,10,2,yes,0.010908437171126578
7158,15929896,BoinkyDoinker,6603,10394,,1840,yes,9598,1099,,2,6,0,,0.010866250699372415
7159,18222930,Mckoopa,9880,9638,9539,1648,,,1289,yes,0,0,1,yes,0.010584173210908904
7160,7559996,Plntote,10795,9468,,1809,yes,4485,1213,,2,8,0,,0.010486356858594004
7161,5193961,hure,13104,9073,,1795,yes,3387,1256,,10,32,0,,0.010476979755793257
7162,4470662,- FleeT -,10085,9605,9097,1656,,,1287,yes,0,0,1,yes,0.010380681748772186
7163,10133922,Veh,12481,9171,1464,1896,,8750,1113,,15,47,10,yes,0.010362127759626472
7164,21248013,Zekios,6838,10332,6323,1711,,,1331,yes,0,0,12,yes,0.01032580043818665
7165,16320736,Luril,16333,8634,2938,1814,,,1233,yes,0,0,10,yes,0.010045068845067326
7166,27990009,3vc0ph,16142,8658,3146,1805,,,1234,yes,0,0,35,,0.009716375344739472
7167,1868745,moosepi,9856,9642,2629,1826,,6342,1162,,116,422,15,yes,0.009709666524838345
7168,7342312,jpg,6526,10416,5821,1723,,4778,1203,,4,8,7,yes,0.009621598782680124
7169,16351091,SCREAMING FROG,12158,9232,2659,1825,,5847,1174,,2,5,4,yes,0.009456268171475268
7170,14475963,collie,9242,9762,,1819,yes,6258,1164,,2,5,0,,0.009129572230966387
7171,10270101,mildsix,11061,9425,,1808,yes,5764,1176,,1,2,0,,0.00882920913663962
7172,16686839,MrAvocadoTHX,3656,11570,8140,1672,,,1402,yes,0,0,33,,0.008540826030907223
7173,10764969,ChivaJam,9093,9792,,1820,yes,5129,1193,,9,17,0,,0.008492678511566765
7174,2238234,fasnowy,11993,9260,4279,1764,,,1268,yes,0,0,3,yes,0.008458773044061244
7175,10696953,Pixeltof,8624,9906,5827,1723,,5559,1181,,1,1,4,yes,0.008315191471251655
7176,2765201,R Y A N,7930,10080,,1830,yes,5891,1173,,7,22,0,,0.0081330866815158
7177,20704748,bingus zingus,9750,9663,,1816,yes,5742,1177,,1,5,0,,0.00806588028922553
7178,723565,sAraShina,11850,9285,4403,1761,,,1269,yes,0,0,3,yes,0.008058821340685397
7179,6632587,Amarillo,10662,9493,3168,1805,,4941,1198,,5,19,4,yes,0.00804632614735723
7180,12112953,Polyr3x,7440,10191,7246,1692,,,1322,yes,0,0,5,yes,0.007898665420542905
7181,3188017,Criss,12935,9099,,1796,yes,3455,1253,,2,6,0,,0.007788083508100415
7182,11511458,Rinne_0,14324,8896,2952,1814,,,1247,yes,0,0,2,yes,0.00773592009830127
7183,28393465,zzxLLL,10288,9564,,1813,yes,7263,1142,,1,2,0,,0.007639493880074177
7184,25111950,4stronoot,19574,8264,2469,1833,,,1212,yes,0,0,15,,0.007551496422107368
7185,9989736,So Fragile,31576,7319,1771,1874,,,1148,yes,0,0,78,,0.0073955670200573365
7186,3687318,Wonder,8665,9893,,1824,yes,5328,1187,,5,22,0,,0.007105787522285467
7187,30153975,zanoza,8150,10025,5381,1734,,,1311,yes,0,0,21,,0.007013132174223613
7188,11241816,hexiture,7531,10169,8623,1664,,,1320,yes,0,0,3,yes,0.006882508467201787
7189,11481297,XxSpeedDemonxX,9356,9738,,1818,yes,9456,1102,,1,2,0,,0.00686491369912795
7190,12360211,Caitywolfy,11669,9316,,1804,yes,6287,1163,,1,1,0,,0.006712819838326764
7191,5385297,sanoJ,9693,9674,,1816,yes,8610,1116,,1,2,0,,0.006670057846473149
7192,6213076,kipp,5090,10895,6730,1702,,3711,1242,,3,14,27,,0.006661690181195938
7193,18940569,xinrr,13715,8982,,1792,yes,3254,1263,,6,21,0,,0.006607738199390832
7194,9529511,WOJT,8557,9923,6928,1699,,3938,1233,,18,70,2,yes,0.006274526531822845
7195,15179339,banjo,6425,10443,5623,1728,,7390,1140,,2,4,4,yes,0.00574860930153448
7196,14444803,yoonie,6282,10489,,1843,yes,8890,1111,,2,9,0,,0.005742624173941946
7197,13627888,hitorisu,8693,9884,,1823,yes,7738,1133,,1,4,0,,0.005645424965395968
7198,22416435,HokageLean1337,9481,9716,7354,1690,,,1294,yes,0,0,2,yes,0.0054734010586343085
7199,9626482,Shadowww,13925,8952,3408,1796,,,1251,yes,0,0,4,yes,0.005427822679675114
7200,16423813,adachi1,10160,9589,9090,1656,,,1286,yes,0,0,1,yes,0.005388560562667427
7201,8522397,krzysiek456,21187,8104,2088,1853,,,1203,yes,0,0,9,yes,0.005172728124132081
7202,10144317,Sicoh,9731,9666,,1816,yes,5824,1175,,3,5,0,,0.004930625954768397
7203,17222868,corpus vile,6705,10367,6063,1717,,4514,1212,,2,5,8,yes,0.004912604946916151
7204,14754071,thecrazypudding,12132,9238,3304,1800,,6440,1160,,1,2,6,yes,0.004784489813531717
7205,23055090,AC01010,22071,8020,2198,1847,,,1198,yes,0,0,16,yes,0.00422161101404539
7206,8945180,molneya,5882,10609,,1847,yes,7662,1135,,8,26,0,,0.004047943622575101
7207,2044444,Fanty,9424,9727,,1818,yes,6669,1155,,3,4,0,,0.00398843689069156
7208,20064153,MiniShaawn,14380,8887,2898,1816,,3917,1234,,10,42,6,yes,0.00375766112667357
7209,9586445,kailburn,13164,9065,,1795,yes,3439,1254,,71,229,0,,0.003707729161391589
7210,23082655,RainerD,7620,10148,5803,1723,,,1319,yes,0,0,15,yes,0.003580978687647618
7211,16357870,john_paypal,7860,10093,6612,1705,,,1315,yes,0,0,6,yes,0.0030813693371792295
7212,9519657,laks,5777,10639,,1847,yes,8318,1122,,7,17,0,,0.0030559122338170708
7213,14855337,Antony000555,49478,6469,3260,1801,,1194,1452,,25,109,20,yes,0.0029588095249060697
7214,5149256,Baldi,11981,9262,5293,1737,,,1268,yes,0,0,1,yes,0.0028978982248102983
7215,3388266,Tacere,10182,9585,9146,1655,,,1286,yes,0,0,1,yes,0.0025771010393276506
7216,15038240,Oliaulin,5871,10612,7515,1686,,5259,1189,,4,10,3,yes,0.002272386197679818
7217,12607463,BeHot,13328,9041,3627,1786,,,1256,yes,0,0,4,yes,0.0022722070901005052
7218,8114571,fragrances,9178,9774,2256,1844,,8297,1122,,4,15,5,yes,0.002251182548650088
7219,12606578,_kola,6843,10331,,1838,yes,6701,1155,,12,27,0,,0.0019908209945095345
7220,14383823,YotGun,7562,10160,6609,1705,,,1320,yes,0,0,7,yes,0.00173700461112819
7221,3870749,Neko God,13438,9026,,1793,yes,3285,1261,,1,4,0,,0.0016054465014656676
7222,2008753,Orage,15067,8794,,1785,yes,2774,1293,,1,5,0,,0.0015638660458472259
7223,1872496,Meg,12655,9142,,1798,yes,3659,1244,,2,6,0,,0.001511085524645345
7224,6785380,HoshimiyaIchigo,9195,9771,,1820,yes,4892,1200,,14,43,0,,0.0011464175210814387
7225,23185001,W1nter1,10741,9479,,1810,yes,4650,1208,,4,8,0,,0.0010976641828698147
7226,2966685,Kulche,11306,9376,5269,1737,,2908,1284,,17,52,12,yes,0.0010880337902364062
7227,12140025,Silva,15348,8756,,1783,yes,3011,1276,,23,78,0,,0.0007713538030199307
7228,14592332,Xester,22350,7992,,1753,yes,1793,1370,,3,11,0,,0.0004873075122889814
7229,17821735,Leo99Oliver,11659,9317,2516,1831,,8771,1113,,1,3,4,yes,0.0004576065048542688
7230,16140136,IAsura,8924,9829,,1821,yes,4954,1198,,27,74,0,,0.0004213239032380689
7231,20373027,Laurus,9896,9634,,1815,yes,5116,1193,,3,9,0,,0.0002626586711079182
7232,18197620,My Angel Yuzu,17345,8508,2858,1817,,,1226,yes,0,0,13,yes,0.00021472550639831112
7233,12847081,kannachi,8858,9846,3941,1774,,6126,1167,,2,5,36,,-6.860295913264924e-05
7234,21336452,Loreneex,13629,8996,3599,1787,,,1253,yes,0,0,8,yes,-0.0004334392013142334
7235,12648780,knight87,7684,10134,,1832,yes,6633,1156,,5,14,0,,-0.0005034166192315337
7236,17049536,Paydro,11140,9409,,1807,yes,8601,1117,,1,1,0,,-0.0005413545483288207
7237,17755585,Calli,7453,10188,5801,1723,,,1321,yes,0,0,19,,-0.0006732897808283678
7238,15996730,Faulty,9732,9665,4701,1751,,,1291,yes,0,0,25,,-0.0007684771443771943
7239,11362688,kznzx,12174,9229,,1801,yes,5233,1190,,1,1,0,,-0.0009012886969645695
7240,10289331,Leo Alvarez,10205,9581,,1813,yes,5842,1174,,1,4,0,,-0.0009498451455442203
7241,14638476,Hakaro,8258,10000,6142,1715,,,1310,yes,0,0,7,yes,-0.0010800917894200623
7242,5522789,Athenai,10351,9554,4214,1766,,4591,1210,,3,5,5,yes,-0.0011127215679911096
7243,3301871,Startrip,9610,9685,,1817,yes,4830,1202,,7,25,0,,-0.001257857331965484
7244,9843059,vrio,19042,8319,2475,1833,,,1215,yes,0,0,10,yes,-0.0013063687213599184
7245,11334285,Taylor Swift,13453,9024,,1793,yes,3402,1255,,12,44,0,,-0.0014842292781463984
7246,6568505,kaimuu,12043,9252,,1802,yes,4329,1219,,1,3,0,,-0.0015255852753040186
7247,5586871,Rapple,13938,8950,,1791,yes,3238,1263,,5,14,0,,-0.0020381697015020017
7248,11801619,qmvx,15234,8772,3188,1804,,,1241,yes,0,0,7,yes,-0.0021786060845081223
7249,11545721,FragHop,7744,10121,5906,1721,,6614,1157,,1,2,4,yes,-0.0022779946593664835
7250,14427985,LaZR0,8508,9933,8632,1664,,4504,1212,,3,11,1,yes,-0.002306005773495129
7251,3812276,DDBOT,10345,9555,,1812,yes,4394,1217,,34,127,0,,-0.0023398400260715435
7252,15287660,Linennight,17324,8510,,1774,yes,2466,1315,,3,9,0,,-0.0024325596278280404
7253,2494230,DynamiCWOW,12763,9126,,1797,yes,3790,1239,,1,2,0,,-0.0024329210033917706
7254,4656634,kacperniszon,7751,10119,2563,1829,,7540,1137,,20,53,4,yes,-0.002739255024244769
7255,10954080,Hiniature,9477,9717,,1818,yes,5483,1183,,2,9,0,,-0.0028933330613368224
7256,16385820,Sebas_Hiac3,9988,9620,,1814,yes,4630,1208,,15,37,0,,-0.0030791651651776997
7257,23302470,PhuGGWP,9661,9677,5201,1739,,,1292,yes,0,0,8,yes,-0.003122542493934344
7258,26255311,NCLBop,19592,8262,2171,1849,,,1212,yes,0,0,6,yes,-0.0033159435898242606
7259,4382562,lexa on osu,19900,8231,2553,1829,,,1210,yes,0,0,20,,-0.003496387530374484
7260,3303326,PoTBuy,9440,9723,,1818,yes,9732,1097,,1,2,0,,-0.0036311645656415537
7261,33141911,IceTeeaTea,12620,9146,3419,1795,,4133,1226,,14,37,12,,-0.0040356171869847315
7262,22074885,AccountWontWork,10013,9616,9905,1642,,,1288,yes,0,0,1,yes,-0.00404908451812977
7263,3751116,Div,10276,9567,,1813,yes,4763,1204,,6,13,0,,-0.004152380340789352
7264,23900335,yochik,6377,10460,6948,1698,,,1339,yes,0,0,11,yes,-0.004230152290491063
7265,15296384,Dancing,9644,9680,7357,1690,,,1292,yes,0,0,2,yes,-0.004735187550496456
7266,4736936,CIay,10429,9536,,1812,yes,5658,1179,,3,4,0,,-0.004817287854116031
7267,6173856,Astris,6389,10456,,1842,yes,6634,1156,,40,129,0,,-0.004881839411358613
7268,2400141,hvick810,14727,8841,,1787,yes,2761,1294,,1,3,0,,-0.004897640655499205
7269,10040597,Sonoboi,20635,8157,2169,1849,,,1206,yes,0,0,8,yes,-0.00501407595072878
7270,983149,black1207,14585,8861,,1787,yes,2631,1303,,1,2,0,,-0.0053370509653478115
7271,32789512,kyoukei,6123,10535,8210,1671,,,1344,yes,0,0,6,yes,-0.005497071029742562
7272,1009285,gadse,10744,9478,6005,1719,,,1280,yes,0,0,2,yes,-0.005546191175175588
7273,14908072,darkkowo_,4082,11345,9170,1654,,,1389,yes,0,0,12,yes,-0.0055765214651075645
